exp,decoding,bleu,long_sentence_bleu,latency_ms
rnn_add,Greedy,0.42016323463847544,0.45677671119625063,24.253424406051636
rnn_dot,Greedy,0.5162069543361972,0.5746138758426887,13.058689832687378
rnn_dot,Beam-3,0.46263352120151724,0.5115941047753392,56.86736702919006
rnn_mul,Greedy,0.415370805710875,0.4427171524300309,14.72910761833191
rnn_schedule,Greedy,0.13512194482840464,0.14486847165025704,10.996710062026978
rnn_tf_only,Greedy,0.2195880017144323,0.24375996836874797,11.96312665939331
t5_finetune,Greedy,0.6349420530764215,0.6567442641495301,207.10309386253357
t5_finetune,Beam-3,0.9011489577337667,0.927392411659668,234.876309633255
trans_abs_learn,Greedy,0.20535701432500839,0.23655948165685392,3703.883248567581
trans_abs_sin,Greedy,0.2273240385146932,0.26112620868738995,4097.931976318359
trans_base,Greedy,0.3757711233892294,0.35711468184056216,3179.3847501277924
trans_base,Beam-3,0.36149639620799895,0.32340844773579686,13270.174396038055
trans_bs256,Greedy,0.16877163423269906,0.1951028797664813,4191.839764118195
trans_rms,Greedy,0.21080448158986606,0.24816871118443082,4326.569541692734
